orphanet	do
Orphanet:1598	DOID:0060406
Orphanet:1243	DOID:0050661
Orphanet:294415	DOID:0060259
Orphanet:282	DOID:9255
Orphanet:79302	DOID:0050674
Orphanet:100045	DOID:0110199
Orphanet:101078	DOID:0110212
Orphanet:391351	DOID:0110187
Orphanet:2940	DOID:0060263
Orphanet:266	DOID:0110300
Orphanet:352479	DOID:0110295
Orphanet:99000	DOID:0050661
Orphanet:791	DOID:0110383
Orphanet:791	DOID:0110353
Orphanet:791	DOID:0110410
Orphanet:791	DOID:0110364
Orphanet:791	DOID:0110368
Orphanet:791	DOID:0110417
Orphanet:791	DOID:0110397
Orphanet:791	DOID:0110366
Orphanet:791	DOID:0110394
Orphanet:791	DOID:0110378
Orphanet:791	DOID:0110413
Orphanet:791	DOID:0110365
Orphanet:791	DOID:0110370
Orphanet:791	DOID:0110404
Orphanet:791	DOID:0110388
Orphanet:791	DOID:0110381
Orphanet:791	DOID:0110405
Orphanet:791	DOID:0110415
Orphanet:791	DOID:0110363
Orphanet:791	DOID:0110376
Orphanet:791	DOID:10584
Orphanet:791	DOID:0110406
Orphanet:791	DOID:0110361
Orphanet:791	DOID:0110369
Orphanet:791	DOID:0110414
Orphanet:791	DOID:0110399
Orphanet:791	DOID:0110372
Orphanet:791	DOID:0110408
Orphanet:791	DOID:0110421
Orphanet:791	DOID:0110384
Orphanet:791	DOID:0110360
Orphanet:791	DOID:0110398
Orphanet:791	DOID:0110412
Orphanet:791	DOID:0110356
Orphanet:791	DOID:0110357
Orphanet:791	DOID:0110373
Orphanet:791	DOID:0110395
Orphanet:791	DOID:0110420
Orphanet:791	DOID:0110396
Orphanet:791	DOID:0110401
Orphanet:791	DOID:0110358
Orphanet:791	DOID:0110377
Orphanet:791	DOID:0110392
Orphanet:791	DOID:0110407
Orphanet:791	DOID:0110374
Orphanet:791	DOID:0110375
Orphanet:791	DOID:0110419
Orphanet:791	DOID:0110400
Orphanet:791	DOID:0110352
Orphanet:791	DOID:0110418
Orphanet:791	DOID:0110359
Orphanet:791	DOID:0110362
Orphanet:791	DOID:0110382
Orphanet:791	DOID:0110393
Orphanet:791	DOID:0110391
Orphanet:791	DOID:0110355
Orphanet:791	DOID:0110416
Orphanet:791	DOID:0110390
Orphanet:791	DOID:0110402
Orphanet:791	DOID:0110386
Orphanet:791	DOID:0110379
Orphanet:791	DOID:0110411
Orphanet:791	DOID:0110371
