orphanet	do
Orphanet:2639	DOID:0050790
Orphanet:245	DOID:5768
Orphanet:565	DOID:1838
Orphanet:100100	DOID:3277
Orphanet:169139	DOID:624
Orphanet:2552	DOID:4271
Orphanet:98760	DOID:0050959
Orphanet:2932	DOID:5213
Orphanet:293202	DOID:6193
Orphanet:199244	DOID:4968
Orphanet:276152	DOID:0080137
Orphanet:45358	DOID:0080143
Orphanet:902	DOID:5688
Orphanet:754	DOID:4674
Orphanet:399	DOID:12858
Orphanet:97685	DOID:0060403
Orphanet:90042	DOID:10780
Orphanet:206966	DOID:699
Orphanet:614	DOID:2106
Orphanet:3148	DOID:5940
Orphanet:93437	DOID:0080049
Orphanet:423296	DOID:0050985
Orphanet:859	DOID:0050818
Orphanet:1517	DOID:0060569
Orphanet:79276	DOID:3890
Orphanet:83600	DOID:5225
Orphanet:314404	DOID:0050968
Orphanet:1334	DOID:2058
Orphanet:97249	DOID:0060272
Orphanet:2905	DOID:14039
Orphanet:206979	DOID:3428
Orphanet:1764	DOID:11589
Orphanet:98762	DOID:0050962
Orphanet:87	DOID:12960
Orphanet:96169	DOID:0050880
Orphanet:1902	DOID:10242
Orphanet:263	DOID:11724
Orphanet:809	DOID:3492
Orphanet:1303	DOID:2799
Orphanet:98763	DOID:0050964
Orphanet:309152	DOID:3321
Orphanet:64694	DOID:11101
Orphanet:137586	DOID:0080158
Orphanet:309144	DOID:2368
Orphanet:252018	DOID:3640
Orphanet:52	DOID:9245
Orphanet:655	DOID:12712
Orphanet:1915	DOID:0050665
Orphanet:93672	DOID:14203
Orphanet:98955	DOID:0060450
Orphanet:182040	DOID:12449
Orphanet:978	DOID:0050601
Orphanet:83461	DOID:11367
Orphanet:379	DOID:3265
Orphanet:199276	DOID:3315
Orphanet:102	DOID:4752
Orphanet:261476	DOID:0060427
Orphanet:53035	DOID:0050876
Orphanet:791	DOID:10584
Orphanet:144	DOID:3883
Orphanet:2929	DOID:0050787
Orphanet:211017	DOID:0050979
Orphanet:173	DOID:1498
Orphanet:2909	DOID:2732
Orphanet:544	DOID:0050745
Orphanet:70482	DOID:1107
Orphanet:1229	DOID:0050656
Orphanet:3287	DOID:2508
Orphanet:99978	DOID:4927
Orphanet:112	DOID:445
Orphanet:886	DOID:0050439
Orphanet:79153	DOID:0080079
Orphanet:309005	DOID:3146
Orphanet:98274	DOID:4960
Orphanet:3452	DOID:8476
Orphanet:3103	DOID:5325
Orphanet:238593	DOID:8283
Orphanet:79445	DOID:4183
Orphanet:3265	DOID:0060467
Orphanet:70470	DOID:1171
Orphanet:858	DOID:13336
Orphanet:52430	DOID:0050881
Orphanet:85102	DOID:4697
Orphanet:1501	DOID:3948
Orphanet:1186	DOID:0050556
Orphanet:55880	DOID:3371
Orphanet:98956	DOID:0060447
Orphanet:189439	DOID:0060280
Orphanet:178333	DOID:0050630
Orphanet:98768	DOID:0050963
Orphanet:98758	DOID:0050956
Orphanet:2470	DOID:0050819
Orphanet:98523	DOID:0060264
Orphanet:79242	DOID:859
Orphanet:183669	DOID:2583
Orphanet:50839	DOID:11258
Orphanet:412	DOID:3145
Orphanet:558	DOID:14323
Orphanet:407	DOID:9268
Orphanet:877	DOID:170
Orphanet:399158	DOID:10159
Orphanet:35704	DOID:0050712
Orphanet:3449	DOID:0050475
Orphanet:83312	DOID:11103
Orphanet:182095	DOID:3082
Orphanet:99886	DOID:0060334
Orphanet:424046	DOID:5742
Orphanet:157	DOID:0060235
Orphanet:2248	DOID:9955
Orphanet:2331	DOID:13378
Orphanet:90	DOID:9278
Orphanet:2494	DOID:8757
Orphanet:69665	DOID:1852
Orphanet:60015	DOID:0060285
Orphanet:423	DOID:8545
Orphanet:126	DOID:14778
Orphanet:231	DOID:14418
Orphanet:282196	DOID:14040
Orphanet:64280	DOID:1825
Orphanet:307	DOID:4890
Orphanet:1478	DOID:1882
Orphanet:252212	DOID:6707
Orphanet:71	DOID:0060357
Orphanet:100	DOID:12704
Orphanet:98616	DOID:5467
Orphanet:53347	DOID:0050692
Orphanet:64749	DOID:0050541
Orphanet:1328	DOID:4997
Orphanet:29073	DOID:9538
Orphanet:63	DOID:10983
Orphanet:1225	DOID:0050654
Orphanet:367	DOID:2750
Orphanet:75496	DOID:0050802
Orphanet:48736	DOID:7232
Orphanet:3303	DOID:6419
Orphanet:130	DOID:0050451
Orphanet:98722	DOID:0050651
Orphanet:93357	DOID:5684
Orphanet:98757	DOID:1440
Orphanet:70588	DOID:11049
Orphanet:366	DOID:2748
Orphanet:64739	DOID:5425
Orphanet:3299	DOID:11338
Orphanet:99756	DOID:4051
Orphanet:3320	DOID:14699
Orphanet:244	DOID:9562
Orphanet:390	DOID:1731
Orphanet:2467	DOID:349
Orphanet:893	DOID:14515
Orphanet:71862	DOID:8501
Orphanet:293621	DOID:0060446
Orphanet:101068	DOID:0060445
Orphanet:512	DOID:10581
Orphanet:90340	DOID:0050678
Orphanet:869	DOID:0050602
Orphanet:83317	DOID:13371
Orphanet:33543	DOID:0060165
Orphanet:2337	DOID:0050428
Orphanet:399319	DOID:8125
Orphanet:3440	DOID:9258
Orphanet:91490	DOID:0060252
Orphanet:251019	DOID:0060428
Orphanet:365	DOID:2752
Orphanet:508	DOID:0050470
Orphanet:3193	DOID:1929
Orphanet:2323	DOID:0060348
Orphanet:443227	DOID:3055
Orphanet:424073	DOID:5751
Orphanet:166063	DOID:0060273
Orphanet:86897	DOID:7146
Orphanet:99976	DOID:4914
Orphanet:2514	DOID:14725
Orphanet:930	DOID:9164
Orphanet:94	DOID:3069
Orphanet:98275	DOID:4972
Orphanet:94083	DOID:14744
Orphanet:98959	DOID:0060454
Orphanet:35	DOID:14701
Orphanet:213823	DOID:4867
Orphanet:98969	DOID:2565
Orphanet:85193	DOID:12559
Orphanet:586	DOID:1485
Orphanet:86834	DOID:0050458
Orphanet:252175	DOID:12689
Orphanet:828	DOID:0080046
Orphanet:251618	DOID:5077
Orphanet:63446	DOID:0050604
Orphanet:2710	DOID:0060291
Orphanet:398058	DOID:5518
Orphanet:88616	DOID:0060308
Orphanet:1427	DOID:0080026
Orphanet:79201	DOID:2747
Orphanet:1164	DOID:13166
Orphanet:37202	DOID:13949
Orphanet:289326	DOID:321
Orphanet:349	DOID:14500
Orphanet:2024	DOID:0060466
Orphanet:1675	DOID:14218
Orphanet:98852	DOID:0050158
Orphanet:581	DOID:12801
Orphanet:296	DOID:4624
Orphanet:71274	DOID:5728
Orphanet:178338	DOID:0060240
Orphanet:1935	DOID:308
Orphanet:31202	DOID:5052
Orphanet:93958	DOID:0050843
Orphanet:35807	DOID:2156
Orphanet:90309	DOID:14720
Orphanet:64741	DOID:4765
Orphanet:2754	DOID:0060376
Orphanet:280558	DOID:0060535
Orphanet:166409	DOID:0060281
Orphanet:279904	DOID:775
Orphanet:3343	DOID:9790
Orphanet:913	DOID:0050782
Orphanet:192	DOID:3783
Orphanet:231160	DOID:0060228
Orphanet:450	DOID:0050545
Orphanet:2912	DOID:4953
Orphanet:178478	DOID:0050354
Orphanet:572	DOID:5812
Orphanet:141	DOID:3613
Orphanet:355	DOID:1926
Orphanet:79493	DOID:0050693
Orphanet:52503	DOID:0050800
Orphanet:99826	DOID:4327
Orphanet:2066	DOID:0060174
Orphanet:633	DOID:9521
Orphanet:3388	DOID:0080074
Orphanet:209916	DOID:6496
Orphanet:35612	DOID:10629
Orphanet:553	DOID:12252
Orphanet:909	DOID:4810
Orphanet:261265	DOID:0060404
Orphanet:740	DOID:3911
Orphanet:167848	DOID:0050700
Orphanet:96256	DOID:5716
Orphanet:364559	DOID:1934
Orphanet:868	DOID:0050884
Orphanet:805	DOID:13515
Orphanet:94065	DOID:0060395
Orphanet:2781	DOID:13533
Orphanet:3385	DOID:10112
Orphanet:250999	DOID:0060412
Orphanet:781	DOID:11100
Orphanet:47	DOID:14179
Orphanet:34592	DOID:0060009
Orphanet:1263	DOID:0050680
Orphanet:98634	DOID:0050786
Orphanet:3389	DOID:399
Orphanet:85276	DOID:0050764
Orphanet:334	DOID:0050650
Orphanet:284	DOID:12148
Orphanet:2415	DOID:1475
Orphanet:2065	DOID:0060364
Orphanet:750	DOID:0080047
Orphanet:65	DOID:14791
Orphanet:2698	DOID:0050658
Orphanet:64742	DOID:4769
Orphanet:2554	DOID:0060306
Orphanet:188	DOID:14400
Orphanet:1414	DOID:6691
Orphanet:94093	DOID:14464
Orphanet:54595	DOID:3840
Orphanet:93921	DOID:3204
Orphanet:168966	DOID:5820
Orphanet:305	DOID:3209
Orphanet:436	DOID:14213
Orphanet:284339	DOID:0060276
Orphanet:1561	DOID:0050713
Orphanet:308993	DOID:0060363
Orphanet:66661	DOID:355
Orphanet:23	DOID:14755
Orphanet:59305	DOID:3590
Orphanet:42738	DOID:0050590
Orphanet:99	DOID:1441
Orphanet:180226	DOID:3308
Orphanet:314928	DOID:1572
Orphanet:424058	DOID:7574
Orphanet:398961	DOID:3606
Orphanet:377	DOID:2512
Orphanet:208513	DOID:0050978
Orphanet:78	DOID:12841
Orphanet:98767	DOID:0050961
Orphanet:90625	DOID:0050566
Orphanet:352	DOID:9870
Orphanet:280569	DOID:4776
Orphanet:79172	DOID:0050798
Orphanet:293843	DOID:0060225
Orphanet:2608	DOID:0050769
Orphanet:279888	DOID:11752
Orphanet:238468	DOID:14793
Orphanet:206976	DOID:1029
Orphanet:64720	DOID:1967
Orphanet:48471	DOID:0050453
Orphanet:863	DOID:9784
Orphanet:247257	DOID:0050160
Orphanet:91364	DOID:2801
Orphanet:413	DOID:1172
Orphanet:64748	DOID:0050540
Orphanet:2841	DOID:0050429
Orphanet:64746	DOID:0050539
Orphanet:840	DOID:5445
Orphanet:1199	DOID:10485
Orphanet:251909	DOID:1664
Orphanet:86872	DOID:0050751
Orphanet:683	DOID:678
Orphanet:19	DOID:0050573
Orphanet:3099	DOID:1586
Orphanet:83483	DOID:0050118
Orphanet:2162	DOID:4621
Orphanet:3447	DOID:14731
Orphanet:93297	DOID:0080044
Orphanet:186	DOID:12236
Orphanet:248095	DOID:14283
Orphanet:86855	DOID:3721
Orphanet:319218	DOID:4325
Orphanet:252031	DOID:8243
Orphanet:472	DOID:2112
Orphanet:319322	DOID:4472
Orphanet:98491	DOID:439
Orphanet:2140	DOID:3827
Orphanet:1546	DOID:12053
Orphanet:3261	DOID:6688
Orphanet:99995	DOID:1811
Orphanet:347	DOID:0050438
Orphanet:178355	DOID:0060247
Orphanet:220	DOID:3764
Orphanet:83330	DOID:13137
Orphanet:90280	DOID:0060386
Orphanet:98892	DOID:0050454
Orphanet:14	DOID:1386
Orphanet:281	DOID:12580
Orphanet:94058	DOID:1687
Orphanet:95431	DOID:13576
Orphanet:85458	DOID:9246
Orphanet:101108	DOID:0050973
Orphanet:360	DOID:3068
Orphanet:98771	DOID:0050969
Orphanet:332	DOID:0050734
Orphanet:2593	DOID:0080089
Orphanet:435	DOID:3156
Orphanet:98960	DOID:0060455
Orphanet:294965	DOID:0060558
Orphanet:1163	DOID:13564
Orphanet:681	DOID:14452
Orphanet:79237	DOID:14695
Orphanet:95	DOID:12705
Orphanet:217012	DOID:0050980
Orphanet:370938	DOID:0060470
Orphanet:261349	DOID:0060415
Orphanet:2377	DOID:1930
Orphanet:261	DOID:11726
Orphanet:3071	DOID:0050469
Orphanet:672	DOID:9248
Orphanet:1340	DOID:0060233
Orphanet:363710	DOID:0050984
Orphanet:319213	DOID:0050202
Orphanet:99408	DOID:3829
Orphanet:251038	DOID:0060459
Orphanet:168829	DOID:1791
Orphanet:183527	DOID:184
Orphanet:251946	DOID:2679
Orphanet:2697	DOID:0050763
