orphanumber	doid
Orphanet:91378	DOID:14735
Orphanet:79273	DOID:13269
Orphanet:728	DOID:2556
Orphanet:1872	DOID:0050572
Orphanet:530	DOID:14498
Orphanet:2971	DOID:0050797
Orphanet:2311	DOID:0050568
Orphanet:183660	DOID:627
Orphanet:1297	DOID:0050691
Orphanet:33	DOID:14753
Orphanet:475	DOID:0050777
Orphanet:418	DOID:0050811
Orphanet:116	DOID:5572
Orphanet:98428	DOID:2834
Orphanet:118	DOID:3633
Orphanet:98850	DOID:4798
Orphanet:35612	DOID:10629
Orphanet:2698	DOID:0050658
Orphanet:60030	DOID:0050466
Orphanet:99798	DOID:0050591
Orphanet:261272	DOID:0060433
Orphanet:101078	DOID:0050542
Orphanet:573	DOID:0050472
Orphanet:882	DOID:0050726
Orphanet:233	DOID:12557
Orphanet:1187	DOID:0050647
Orphanet:2745	DOID:0050780
Orphanet:500	DOID:14291
Orphanet:1077	DOID:12661
Orphanet:2940	DOID:0060263
Orphanet:848	DOID:12241
Orphanet:55	DOID:0050632
Orphanet:52429	DOID:0060232
Orphanet:90289	DOID:8472
Orphanet:2609	DOID:0060536
Orphanet:706	DOID:13832
Orphanet:868	DOID:0050884
Orphanet:52416	DOID:0050746
Orphanet:100100	DOID:3277
Orphanet:243	DOID:14450
Orphanet:90695	DOID:9410
Orphanet:59	DOID:0050631
Orphanet:682	DOID:14451
Orphanet:234	DOID:12308
Orphanet:920	DOID:0060550
Orphanet:726	DOID:1442
Orphanet:579	DOID:12802
Orphanet:261222	DOID:0060398
Orphanet:93672	DOID:14203
Orphanet:147	DOID:9280
Orphanet:3135	DOID:13300
Orphanet:110	DOID:1935
Orphanet:1186	DOID:0050556
Orphanet:91546	DOID:11729
Orphanet:368	DOID:2746
Orphanet:36426	DOID:0050426
Orphanet:261211	DOID:0060400
Orphanet:93	DOID:0050461
Orphanet:251056	DOID:0060424
Orphanet:177	DOID:2580
Orphanet:990	DOID:0060341
Orphanet:79264	DOID:0050756
Orphanet:480	DOID:12934
Orphanet:702	DOID:3210
Orphanet:56	DOID:9270
Orphanet:342	DOID:2987
Orphanet:269	DOID:11727
Orphanet:93299	DOID:0080054
Orphanet:73256	DOID:14174
Orphanet:47	DOID:14179
Orphanet:175	DOID:14773
Orphanet:2050	DOID:0060438
Orphanet:46627	DOID:0060563
Orphanet:213	DOID:1064
Orphanet:729	DOID:8997
Orphanet:531	DOID:0060469
Orphanet:464	DOID:12305
Orphanet:99797	DOID:13714
Orphanet:6	DOID:0050710
Orphanet:2314	DOID:3261
Orphanet:811	DOID:0060479
Orphanet:38	DOID:0060362
Orphanet:217385	DOID:0060432
Orphanet:511	DOID:9269
Orphanet:93474	DOID:0060222
Orphanet:3144	DOID:0050775
Orphanet:774	DOID:1270
Orphanet:2098	DOID:0080052
Orphanet:69078	DOID:3382
Orphanet:2655	DOID:13481
Orphanet:1369	DOID:0080132
Orphanet:84	DOID:13636
Orphanet:1620	DOID:0060417
Orphanet:127	DOID:0050681
Orphanet:550	DOID:3687
Orphanet:758	DOID:2738
Orphanet:91347	DOID:6275
Orphanet:763	DOID:0080038
Orphanet:26790	DOID:3559
Orphanet:99748	DOID:0050150
Orphanet:272	DOID:0050559
Orphanet:99969	DOID:5702
Orphanet:900	DOID:12132
Orphanet:33577	DOID:1525
Orphanet:75233	DOID:14497
Orphanet:1871	DOID:0050795
Orphanet:90000	DOID:0060567
Orphanet:2686	DOID:5339
Orphanet:48104	DOID:8553
Orphanet:1520	DOID:14737
Orphanet:576	DOID:0080070
Orphanet:125	DOID:2717
Orphanet:50945	DOID:0060387
Orphanet:658	DOID:1558
Orphanet:64741	DOID:4765
Orphanet:772	DOID:0050444
Orphanet:98848	DOID:4660
Orphanet:375	DOID:9808
Orphanet:535	DOID:0050169
Orphanet:881	DOID:3491
Orphanet:180	DOID:9821
Orphanet:1334	DOID:2058
Orphanet:1493	DOID:0060356
Orphanet:1788	DOID:0060383
Orphanet:2152	DOID:0060485
Orphanet:429	DOID:0080041
