orphanet	do
Orphanet:280898	DOID:12030
Orphanet:817	DOID:0060283
Orphanet:424065	DOID:6827
Orphanet:2697	DOID:0050763
Orphanet:53347	DOID:0050692
Orphanet:863	DOID:9784
Orphanet:902	DOID:5688
Orphanet:67038	DOID:1040
Orphanet:658	DOID:1558
Orphanet:664	DOID:9271
Orphanet:1620	DOID:0060417
Orphanet:96	DOID:0090028
Orphanet:69077	DOID:3672
Orphanet:2014	DOID:674
Orphanet:274	DOID:2217
Orphanet:407	DOID:9268
Orphanet:99824	DOID:9537
Orphanet:763	DOID:0080038
Orphanet:443167	DOID:0060463
Orphanet:3107	DOID:0060766
Orphanet:33	DOID:14753
Orphanet:279914	DOID:12732
Orphanet:648	DOID:3490
Orphanet:71274	DOID:5728
Orphanet:182	DOID:1562
Orphanet:47612	DOID:11042
Orphanet:724	DOID:9503
Orphanet:2168	DOID:0060177
Orphanet:104076	DOID:5271
Orphanet:85193	DOID:12559
Orphanet:840	DOID:5445
Orphanet:2309	DOID:0050449
Orphanet:2753	DOID:0060374
Orphanet:1047	DOID:8955
Orphanet:474	DOID:0050592
Orphanet:2290	DOID:0060775
Orphanet:442	DOID:0050328
Orphanet:363504	DOID:5557
Orphanet:1214	DOID:1757
Orphanet:93442	DOID:2581
Orphanet:65753	DOID:0050538
Orphanet:74	DOID:0050256
Orphanet:79181	DOID:9265
Orphanet:98757	DOID:1440
Orphanet:2157	DOID:0060168
Orphanet:98784	DOID:0060681
Orphanet:2686	DOID:5339
Orphanet:319199	DOID:0110805
Orphanet:85295	DOID:0060810
Orphanet:116	DOID:5572
Orphanet:358	DOID:0050450
Orphanet:201	DOID:6457
Orphanet:3056	DOID:0060829
Orphanet:217071	DOID:4450
Orphanet:98756	DOID:0050955
Orphanet:77	DOID:12271
Orphanet:551	DOID:310
Orphanet:213828	DOID:6428
Orphanet:513	DOID:9952
Orphanet:791	DOID:10584
Orphanet:3342	DOID:0050645
Orphanet:90120	DOID:0080068
Orphanet:213746	DOID:4005
Orphanet:99903	DOID:12096
Orphanet:166291	DOID:1082
Orphanet:60025	DOID:12117
Orphanet:97593	DOID:4184
Orphanet:178469	DOID:0060307
