orphanumber	doid
Orphanet:2771	DOID:0060231
Orphanet:894	DOID:9258
Orphanet:595	DOID:14717
Orphanet:2616	DOID:0060241
Orphanet:66629	DOID:0060481
Orphanet:1906	DOID:0060471
Orphanet:217377	DOID:0060461
Orphanet:284160	DOID:0060425
Orphanet:65682	DOID:1852
Orphanet:1243	DOID:0050661
Orphanet:2024	DOID:0060466
Orphanet:1947	DOID:0110724
Orphanet:79278	DOID:13270
Orphanet:1797	DOID:0050568
Orphanet:213	DOID:1064
Orphanet:637	DOID:8712
Orphanet:803	DOID:0060355
Orphanet:1949	DOID:14264
Orphanet:216	DOID:14503
Orphanet:1429	DOID:12859
Orphanet:49382	DOID:13911
Orphanet:512	DOID:10581
Orphanet:379	DOID:3265
Orphanet:261349	DOID:0060415
Orphanet:2609	DOID:0060536
Orphanet:79303	DOID:0050674
Orphanet:385	DOID:0110734
Orphanet:435387	DOID:0110168
Orphanet:251038	DOID:0060459
Orphanet:2510	DOID:0060237
Orphanet:2510	DOID:0110716
Orphanet:2510	DOID:0110717
Orphanet:2510	DOID:0110719
Orphanet:2510	DOID:0110718
Orphanet:847	DOID:0110030
Orphanet:2573	DOID:13099
Orphanet:79230	DOID:2352
Orphanet:65286	DOID:0060419
Orphanet:99014	DOID:0110210
Orphanet:1486	DOID:0060559
Orphanet:507	DOID:9146
