orphanumber	doid
Orphanet:199	DOID:11725
Orphanet:906	DOID:9169
Orphanet:213	DOID:1064
Orphanet:705	DOID:0060744
Orphanet:84142	DOID:963
Orphanet:1555	DOID:0050660
Orphanet:98375	DOID:718
Orphanet:91132	DOID:0060720
Orphanet:773	DOID:10582
Orphanet:140	DOID:0050463
Orphanet:206484	DOID:3578
Orphanet:85282	DOID:0060801
Orphanet:302	DOID:13777
Orphanet:675	DOID:0060850
Orphanet:35656	DOID:0050730
Orphanet:2241	DOID:0060610
Orphanet:52429	DOID:0060232
Orphanet:218	DOID:2734
Orphanet:324964	DOID:0060645
Orphanet:535	DOID:0050169
Orphanet:251056	DOID:0060424
Orphanet:392	DOID:0060468
Orphanet:33355	DOID:0060020
Orphanet:2368	DOID:11044
Orphanet:171851	DOID:0060483
Orphanet:53271	DOID:0060703
Orphanet:36258	DOID:12918
Orphanet:75374	DOID:0050335
Orphanet:231183	DOID:0110828
Orphanet:729	DOID:8997
Orphanet:2514	DOID:14725
Orphanet:261120	DOID:0060392
Orphanet:618	DOID:6846
Orphanet:2869	DOID:3852
Orphanet:58	DOID:4252
Orphanet:1830	DOID:0060490
Orphanet:2162	DOID:4621
Orphanet:216	DOID:14503
Orphanet:3265	DOID:0060467
Orphanet:36397	DOID:3928
