disease_keggId	drug_keggId
ds:H01729	dr:D00619
ds:H00037	dr:D01459
ds:H01563	dr:D01199
ds:H01514	dr:D06458
ds:H01694	dr:D03354
ds:H01621	dr:D08514
ds:H00413	dr:D10105
ds:H01593	dr:D03684
ds:H01654	dr:D05480
ds:H01638	dr:D01179
ds:H00413	dr:D03305
ds:H01706	dr:D00347
ds:H01599	dr:D00710
ds:H01709	dr:D00939
ds:H01587	dr:D03644
ds:H00079	dr:D00414
ds:H01822	dr:D00354
ds:H00019	dr:D04715
ds:H01730	dr:D00109
ds:H01594	dr:D01001
ds:H01600	dr:D00558
ds:H00286	dr:D02597
ds:H00035	dr:D00214
ds:H01611	dr:D00537
ds:H00287	dr:D02598
ds:H01709	dr:D03684
ds:H01729	dr:D00371
ds:H01895	dr:D04747
ds:H00429	dr:D05932
ds:H00155	dr:D08946
ds:H01739	dr:D06459
ds:H01730	dr:D00635
ds:H00046	dr:D05932
ds:H01658	dr:D00473
ds:H01089	dr:D01426
ds:H01665	dr:D00491
ds:H00019	dr:D01211
ds:H01381	dr:D02112
ds:H01082	dr:D00011
ds:H01808	dr:D01253
ds:H00012	dr:D00341
ds:H01045	dr:D00471
ds:H00413	dr:D10582
ds:H01398	dr:D05868
ds:H01609	dr:D01372
ds:H01578	dr:D03538
ds:H01681	dr:D01672
ds:H00630	dr:D02598
ds:H00098	dr:D00947
ds:H00126	dr:D03020
ds:H00243	dr:D00766
ds:H01483	dr:D05394
ds:H00131	dr:D06565
ds:H01054	dr:D05443
ds:H01605	dr:D09960
ds:H00022	dr:D03573
ds:H00156	dr:D00565
ds:H01601	dr:D00473
ds:H00023	dr:D00343
ds:H01559	dr:D01363
ds:H00202	dr:D10003
ds:H01151	dr:D07711
ds:H01641	dr:D00184
ds:H01358	dr:D00325
ds:H01431	dr:D00585
ds:H01700	dr:D00088
ds:H01567	dr:D01225
ds:H00288	dr:D02934
ds:H01532	dr:D00570
ds:H01152	dr:D01013
ds:H01644	dr:D08872
ds:H01633	dr:D00382
ds:H01649	dr:D04038
ds:H00749	dr:D04127
ds:H00749	dr:D00252
ds:H01654	dr:D01272
ds:H01718	dr:D08786
ds:H01240	dr:D08789
ds:H01197	dr:D07986
ds:H00243	dr:D03819
