disease_keggId	gene_keggId
ds:H00933	hsa:5645
ds:H00108	hsa:841
ds:H00027	hsa:335
ds:H00538	hsa:80184
ds:H00084	hsa:3557
ds:H01398	hsa:435
ds:H00507	hsa:5073
ds:H00826	hsa:668
ds:H00768	hsa:288
ds:H00004	hsa:2122
ds:H01510	hsa:5979
ds:H01020	hsa:84233
ds:H01705	hsa:7466
ds:H00808	hsa:57465
ds:H01394	hsa:5167
ds:H00033	hsa:1027
ds:H01513	hsa:1029
ds:H00090	hsa:2214
ds:H00408	hsa:2065
ds:H00019	hsa:4089
ds:H00344	hsa:7097
ds:H00260	hsa:5573
ds:H00437	hsa:4982
ds:H00698	hsa:4703
ds:H00513	hsa:5325
ds:H00769	hsa:2741
ds:H01356	hsa:4567
ds:H01352	hsa:3032
ds:H00458	hsa:3845
ds:H00473	hsa:4724
ds:H01036	hsa:28982
ds:H00041	hsa:596
ds:H00729	hsa:6331
ds:H00043	hsa:4613
ds:H00058	hsa:203228
ds:H00725	hsa:3757
ds:H00163	hsa:3081
ds:H01827	hsa:26610
ds:H00550	hsa:2657
ds:H00729	hsa:10021
ds:H00808	hsa:114327
ds:H01358	hsa:10392
ds:H01308	hsa:84282
ds:H00660	hsa:2201
ds:H01133	hsa:3930
ds:H00770	hsa:4593
ds:H00473	hsa:4729
ds:H00874	hsa:6342
ds:H01195	hsa:3239
ds:H01195	hsa:5728
ds:H00511	hsa:4750
ds:H00743	hsa:6329
ds:H01112	hsa:92335
ds:H01510	hsa:6391
ds:H00606	hsa:6792
ds:H00876	hsa:2956
ds:H01027	hsa:54880
ds:H00403	hsa:2068
ds:H01914	hsa:10479
ds:H00564	hsa:55036
ds:H00525	hsa:34
ds:H00609	hsa:122042
ds:H00770	hsa:375790
ds:H00421	hsa:411
ds:H00469	hsa:1890
ds:H00623	hsa:4853
ds:H00722	hsa:3857
ds:H00408	hsa:3119
ds:H01901	hsa:51008
ds:H01260	hsa:2335
ds:H01398	hsa:5009
ds:H01908	hsa:389827
ds:H00005	hsa:3939
ds:H00821	hsa:84839
ds:H00473	hsa:137682
ds:H00033	hsa:2771
ds:H01400	hsa:2752
ds:H00792	hsa:22931
ds:H00837	hsa:145226
ds:H00810	hsa:4567
ds:H00533	hsa:4089
ds:H00833	hsa:83636
ds:H01304	hsa:54716
ds:H00056	hsa:5664
ds:H01510	hsa:6392
ds:H00025	hsa:1029
ds:H00232	hsa:3783
ds:H01749	hsa:2261
ds:H01784	hsa:344
ds:H00264	hsa:81846
ds:H00562	hsa:4618
ds:H00521	hsa:860
ds:H00580	hsa:50485
ds:H00819	hsa:24
ds:H01488	hsa:84720
ds:H01234	hsa:2328
ds:H00606	hsa:57526
ds:H00246	hsa:5741
ds:H00695	hsa:57152
ds:H00802	hsa:715
ds:H01277	hsa:8029
ds:H01400	hsa:2108
ds:H01243	hsa:5621
ds:H00068	hsa:4519
ds:H00044	hsa:3875
ds:H01583	hsa:8942
ds:H00434	hsa:7040
ds:H00476	hsa:1298
ds:H01630	hsa:7021
ds:H01754	hsa:2261
ds:H01396	hsa:59
ds:H01132	hsa:7012
ds:H00605	hsa:222662
ds:H00458	hsa:6938
ds:H00564	hsa:93233
ds:H00940	hsa:157680
ds:H00856	hsa:81545
ds:H00084	hsa:3569
ds:H01791	hsa:10743
ds:H00436	hsa:440456
ds:H00038	hsa:3945
ds:H00295	hsa:7137
ds:H00593	hsa:825
ds:H00271	hsa:9289
ds:H01762	hsa:2027
ds:H00166	hsa:79803
ds:H00598	hsa:6663
ds:H01264	hsa:3431
ds:H00698	hsa:7170
ds:H00606	hsa:2257
ds:H00511	hsa:79659
ds:H00831	hsa:63982
ds:H00926	hsa:79068
ds:H01513	hsa:5925
ds:H00294	hsa:7134
ds:H00426	hsa:5660
ds:H00658	hsa:10075
ds:H00513	hsa:346171
ds:H01282	hsa:2516
ds:H01502	hsa:6775
ds:H00532	hsa:5921
ds:H00577	hsa:57477
ds:H00018	hsa:898
ds:H00552	hsa:2710
ds:H01252	hsa:113235
ds:H01025	hsa:4595
ds:H01740	hsa:1729
ds:H00530	hsa:51259
ds:H00439	hsa:51119
ds:H00739	hsa:6768
ds:H01354	hsa:4705
ds:H01354	hsa:6389
ds:H01216	hsa:11155
ds:H01911	hsa:81562
ds:H00593	hsa:10049
ds:H01354	hsa:55967
ds:H00833	hsa:80025
ds:H00730	hsa:1804
ds:H00166	hsa:89781
ds:H00810	hsa:1476
ds:H01904	hsa:3052
ds:H00265	hsa:65125
ds:H00533	hsa:2022
ds:H01825	hsa:2879
ds:H00707	hsa:3848
ds:H00458	hsa:51715
ds:H00342	hsa:3460
ds:H00624	hsa:8647
ds:H00754	hsa:6901
ds:H01762	hsa:5236
ds:H00985	hsa:5994
ds:H01118	hsa:291
ds:H00209	hsa:538
ds:H01649	hsa:1116
ds:H00537	hsa:7369
ds:H01360	hsa:1232
ds:H00268	hsa:170302
ds:H00931	hsa:6777
ds:H00661	hsa:2200
ds:H00686	hsa:158326
ds:H00710	hsa:2707
ds:H01200	hsa:388753
ds:H00604	hsa:4640
ds:H00530	hsa:57545
ds:H00166	hsa:3257
ds:H01762	hsa:2997
ds:H00216	hsa:1586
ds:H00204	hsa:5828
ds:H00410	hsa:3172
ds:H00626	hsa:7225
ds:H00292	hsa:4634
ds:H01341	hsa:1291
ds:H00779	hsa:64072
ds:H00774	hsa:6335
ds:H01022	hsa:6389
ds:H01489	hsa:55650
