drug_keggId	gene_keggId
dr:D00538	hsa:8912
dr:D08207	hsa:3354
dr:D00570	hsa:10382
dr:D05037	hsa:154
dr:D02349	hsa:147
dr:D01830	hsa:148
dr:D01481	hsa:4988
dr:D08914	hsa:10381
dr:D00509	hsa:147
dr:D00085	hsa:3643
dr:D02640	hsa:2562
dr:D00267	hsa:2566
dr:D08457	hsa:1813
dr:D03547	hsa:3741
dr:D01372	hsa:2561
dr:D00685	hsa:154
dr:D00605	hsa:150
dr:D07218	hsa:3362
dr:D06245	hsa:2099
dr:D08057	hsa:1813
dr:D00658	hsa:6559
dr:D03088	hsa:1129
dr:D07784	hsa:2564
dr:D00714	hsa:2558
dr:D02300	hsa:134
dr:D07449	hsa:6532
dr:D05399	hsa:1956
dr:D02350	hsa:5742
dr:D07905	hsa:147
dr:D02571	hsa:6531
dr:D02569	hsa:152
dr:D02770	hsa:2560
dr:D10189	hsa:5293
dr:D00076	hsa:154
dr:D01000	hsa:1132
dr:D01871	hsa:1133
dr:D00769	hsa:64805
dr:D01358	hsa:147
dr:D01277	hsa:153
dr:D03492	hsa:6326
dr:D01919	hsa:10381
dr:D01455	hsa:6323
dr:D00721	hsa:1133
dr:D08196	hsa:367
dr:D10627	hsa:2903
dr:D01224	hsa:146
dr:D00636	hsa:6335
dr:D07273	hsa:1134
dr:D09033	hsa:63928
dr:D08116	hsa:6334
dr:D08339	hsa:1812
dr:D09402	hsa:1128
dr:D05474	hsa:5143
dr:D05267	hsa:3690
dr:D07513	hsa:1128
dr:D08842	hsa:54106
dr:D02211	hsa:147
dr:D08477	hsa:5915
dr:D01453	hsa:5138
dr:D04018	hsa:155
dr:D00537	hsa:11280
dr:D07971	hsa:8912
dr:D00679	hsa:1813
dr:D00500	hsa:2562
dr:D00715	hsa:1128
dr:D02034	hsa:150
dr:D08435	hsa:6336
dr:D08116	hsa:11280
dr:D01017	hsa:147
dr:D02204	hsa:1143
dr:D03803	hsa:231
dr:D07089	hsa:5139
dr:D00649	hsa:6337
dr:D05632	hsa:4988
dr:D07326	hsa:2556
dr:D07089	hsa:5144
dr:D02041	hsa:200909
dr:D00637	hsa:6323
dr:D08449	hsa:148
dr:D03217	hsa:8654
dr:D08597	hsa:4988
dr:D00163	hsa:9971
dr:D00570	hsa:84617
dr:D02666	hsa:1813
dr:D09737	hsa:2057
dr:D02973	hsa:2903
dr:D00714	hsa:2559
dr:D00348	hsa:5915
dr:D06103	hsa:5141
dr:D06132	hsa:5139
dr:D06106	hsa:2564
dr:D09731	hsa:238
dr:D01593	hsa:55879
dr:D00999	hsa:1129
dr:D10593	hsa:54583
dr:D08004	hsa:3817
dr:D08477	hsa:5916
dr:D00537	hsa:779
dr:D01268	hsa:55879
dr:D01469	hsa:147
dr:D03248	hsa:4128
dr:D00767	hsa:1134
dr:D02456	hsa:6323
dr:D05637	hsa:148
dr:D08197	hsa:367
dr:D08481	hsa:2566
dr:D01906	hsa:153
dr:D10396	hsa:2321
dr:D10309	hsa:3363
dr:D08414	hsa:2908
dr:D08426	hsa:1133
dr:D01379	hsa:476
dr:D07837	hsa:146
dr:D09972	hsa:5241
dr:D08027	hsa:2798
dr:D03878	hsa:2905
dr:D09915	hsa:412
dr:D01254	hsa:2561
dr:D08914	hsa:347733
dr:D00533	hsa:6334
dr:D07889	hsa:3269
dr:D00600	hsa:153
dr:D01310	hsa:2560
dr:D01562	hsa:778
dr:D09673	hsa:7276
dr:D00456	hsa:170572
dr:D08996	hsa:1803
dr:D07132	hsa:4988
dr:D01230	hsa:2556
dr:D10368	hsa:7100
